x,y,p,xt,yt,time
0,0,0,0,0,0
-519.625793457,-235.548339844,0.37548828125,-0.354330708661,-0.11811023622,1851828
-519.686904907,-235.658279419,0.3896484375,-0.354330708661,-0.11811023622,1851833
-519.686904907,-235.658279419,0.3935546875,-0.338582677165,-0.11811023622,1851838
-519.625793457,-235.548339844,0.40625,-0.338582677165,-0.11811023622,1851843
-519.534118652,-235.410903931,0.4306640625,-0.338582677165,-0.11811023622,1851848
-519.350784302,-235.108551025,0.45361328125,-0.338582677165,-0.11811023622,1851854
-519.045227051,-234.366409302,0.4677734375,-0.338582677165,-0.11811023622,1851859
-518.648010254,-233.074554443,0.4794921875,-0.338582677165,-0.11811023622,1851864
-518.067443848,-231.06803894,0.49658203125,-0.338582677165,-0.11811023622,1851869
-517.272994995,-228.374359131,0.51513671875,-0.338582677165,-0.11811023622,1851874
-516.295196533,-224.938552856,0.5302734375,-0.338582677165,-0.133858267717,1851879
-515.042404175,-220.568191528,0.544921875,-0.338582677165,-0.133858267717,1851884
-513.545181274,-215.318283081,0.5576171875,-0.338582677165,-0.133858267717,1851889
-511.864608765,-209.161300659,0.5673828125,-0.338582677165,-0.133858267717,1851894
-510.000686646,-202.152252197,0.57080078125,-0.338582677165,-0.133858267717,1851899
-507.831222534,-194.511001587,0.57373046875,-0.338582677165,-0.133858267717,1851904
-505.570098877,-186.347518921,0.57275390625,-0.338582677165,-0.133858267717,1851909
-503.186737061,-177.799224854,0.5732421875,-0.338582677165,-0.149606299213,1851914
-500.864486694,-168.948562622,0.57470703125,-0.338582677165,-0.149606299213,1851919
-498.817245483,-159.768081665,0.58349609375,-0.338582677165,-0.149606299213,1851924
-497.106124878,-150.56010437,0.59619140625,-0.338582677165,-0.165354330709,1851929
-495.731109619,-141.599517822,0.60498046875,-0.338582677165,-0.165354330709,1851934
-494.753311157,-133.023742676,0.60888671875,-0.338582677165,-0.165354330709,1851939
-494.17276001,-125.135101318,0.61376953125,-0.338582677165,-0.181102362205,1851944
-493.989425659,-118.043579102,0.619140625,-0.338582677165,-0.181102362205,1851949
-494.264419556,-111.666717529,0.62744140625,-0.322834645669,-0.181102362205,1851954
-495.058868408,-106.141937256,0.63232421875,-0.322834645669,-0.196850393701,1851959
-496.311660767,-101.524200439,0.63818359375,-0.322834645669,-0.196850393701,1851964
-497.870010376,-97.9784545898,0.64208984375,-0.322834645669,-0.196850393701,1851969
