x,y,p,xt,yt,time
0,0,0,0,0,0
-540.984344482,-231.040542603,0.220703125,0.102362204724,0.732283464567,1443990
-540.984344482,-231.040542603,0.2236328125,0.102362204724,0.716535433071,1443995
-540.984344482,-231.040542603,0.2138671875,0.11811023622,0.716535433071,1444000
-540.984344482,-231.040542603,0.21240234375,0.11811023622,0.700787401575,1444005
-541.014892578,-230.903121948,0.2119140625,0.133858267717,0.700787401575,1444010
-541.198226929,-230.600769043,0.21435546875,0.133858267717,0.685039370079,1444015
-541.473236084,-230.051040649,0.21923828125,0.133858267717,0.685039370079,1444020
-541.839904785,-229.253921509,0.2314453125,0.133858267717,0.685039370079,1444025
-542.420471191,-228.154464722,0.244140625,0.133858267717,0.685039370079,1444030
-543.031585693,-226.862609863,0.259765625,0.133858267717,0.685039370079,1444036
-543.734375,-225.240905762,0.26953125,0.11811023622,0.685039370079,1444040
-544.589935303,-223.399307251,0.28369140625,0.11811023622,0.669291338583,1444046
-545.506607056,-221.337814331,0.2939453125,0.133858267717,0.669291338583,1444051
-546.545516968,-219.221359253,0.30810546875,0.133858267717,0.669291338583,1444056
-547.676071167,-217.104904175,0.32470703125,0.133858267717,0.669291338583,1444061
-548.806640625,-214.851013184,0.34375,0.133858267717,0.669291338583,1444066
-549.967773438,-212.514648438,0.36474609375,0.133858267717,0.653543307087,1444071
-551.220550537,-209.875946045,0.38232421875,0.133858267717,0.653543307087,1444076
-552.534454346,-207.017364502,0.39599609375,0.133858267717,0.653543307087,1444081
-553.970581055,-203.938873291,0.40869140625,0.133858267717,0.637795275591,1444086
-555.467819214,-200.777923584,0.41796875,0.149606299213,0.637795275591,1444091
-556.965057373,-197.534515381,0.43017578125,0.149606299213,0.622047244094,1444096
-558.431747437,-194.23614502,0.44287109375,0.149606299213,0.622047244094,1444101
-559.806762695,-191.102676392,0.45751953125,0.149606299213,0.606299212598,1444106
-561.120651245,-188.106658936,0.46728515625,0.149606299213,0.606299212598,1444111
-562.220672607,-185.33052063,0.4755859375,0.165354330709,0.590551181102,1444116
-563.229019165,-182.82925415,0.47998046875,0.165354330709,0.590551181102,1444121
-564.115127563,-180.492889404,0.4873046875,0.149606299213,0.574803149606,1444126
-564.848480225,-178.321456909,0.49365234375,0.149606299213,0.574803149606,1444131
-565.551254272,-176.287460327,0.49853515625,0.149606299213,0.574803149606,1444136
-566.192932129,-174.445861816,0.5029296875,0.149606299213,0.574803149606,1444141
-566.742935181,-172.824157715,0.5078125,0.149606299213,0.574803149606,1444146
-567.201278687,-171.339889526,0.51025390625,0.149606299213,0.574803149606,1444151
-567.537384033,-170.130493164,0.5107421875,0.149606299213,0.574803149606,1444156
-567.781829834,-169.223434448,0.51171875,0.133858267717,0.574803149606,1444161
-567.934616089,-168.453811646,0.513671875,0.133858267717,0.55905511811,1444166
-568.026290894,-168.014022827,0.51513671875,0.133858267717,0.55905511811,1444171
-568.117950439,-167.766647339,0.517578125,0.133858267717,0.55905511811,1444181
-568.117950439,-167.629211426,0.52392578125,0.133858267717,0.55905511811,1444186
-568.117950439,-167.711685181,0.52880859375,0.149606299213,0.55905511811,1444191
-568.026290894,-167.904083252,0.5302734375,0.149606299213,0.55905511811,1444197
-567.842941284,-168.316375732,0.529296875,0.149606299213,0.55905511811,1444201
-567.506835938,-169.003540039,0.5302734375,0.149606299213,0.55905511811,1444207
-567.017944336,-169.938079834,0.53125,0.149606299213,0.55905511811,1444211
-566.376266479,-171.202468872,0.53076171875,0.149606299213,0.55905511811,1444217
-565.551254272,-172.686737061,0.5283203125,0.149606299213,0.55905511811,1444221
-564.573471069,-174.473358154,0.52685546875,0.149606299213,0.55905511811,1444227
-563.473464966,-176.479873657,0.52587890625,0.149606299213,0.55905511811,1444232
-562.312332153,-178.623809814,0.5205078125,0.149606299213,0.55905511811,1444237
-561.1512146,-180.960159302,0.51416015625,0.149606299213,0.55905511811,1444242
-559.959533691,-183.351486206,0.50830078125,0.149606299213,0.55905511811,1444247
-558.767852783,-185.852767944,0.505859375,0.149606299213,0.55905511811,1444252
-557.606735229,-188.381515503,0.5,0.149606299213,0.55905511811,1444257
-556.445617676,-190.992736816,0.49560546875,0.149606299213,0.55905511811,1444262
-555.376159668,-193.631439209,0.494140625,0.149606299213,0.55905511811,1444267
-554.276138306,-196.297622681,0.49462890625,0.149606299213,0.55905511811,1444272
-553.237243652,-198.99130249,0.4931640625,0.149606299213,0.55905511811,1444277
-552.228897095,-201.657485962,0.49072265625,0.165354330709,0.55905511811,1444282
-551.159439087,-204.323684692,0.49169921875,0.165354330709,0.55905511811,1444287
-550.089996338,-206.989868164,0.494140625,0.165354330709,0.574803149606,1444292
-548.95942688,-209.573608398,0.4921875,0.165354330709,0.574803149606,1444297
-547.798294067,-212.102355957,0.4912109375,0.165354330709,0.590551181102,1444302
-546.545516968,-214.686080933,0.49169921875,0.165354330709,0.590551181102,1444307
-545.292724609,-217.462219238,0.49365234375,0.165354330709,0.606299212598,1444312
-544.009368896,-220.348312378,0.49169921875,0.165354330709,0.606299212598,1444317
-542.664916992,-223.261871338,0.4912109375,0.149606299213,0.606299212598,1444322
-541.351013184,-226.092987061,0.49169921875,0.149606299213,0.622047244094,1444327
-540.037109375,-228.511795044,0.4931640625,0.149606299213,0.622047244094,1444332
-538.784317017,-230.628250122,0.49072265625,0.133858267717,0.622047244094,1444337
-537.653747559,-232.387390137,0.490234375,0.133858267717,0.637795275591,1444342
-536.64541626,-233.76171875,0.490234375,0.11811023622,0.637795275591,1444347
-535.789840698,-234.833679199,0.4912109375,0.11811023622,0.637795275591,1444352
-535.08706665,-235.63079834,0.4892578125,0.102362204724,0.653543307087,1444357
-534.567611694,-236.098068237,0.48876953125,0.102362204724,0.653543307087,1444362
-534.262054443,-236.372924805,0.48779296875,0.0866141732283,0.653543307087,1444368
-533.987045288,-236.482879639,0.48779296875,0.0866141732283,0.653543307087,1444372
-533.742599487,-236.537841797,0.48486328125,0.0708661417323,0.669291338583,1444377
-533.284255981,-236.565338135,0.484375,0.0708661417323,0.669291338583,1444382
-532.581481934,-236.565338135,0.4833984375,0.0708661417323,0.669291338583,1444387
-531.664810181,-236.455383301,0.484375,0.0708661417323,0.669291338583,1444392
-530.564788818,-236.235488892,0.4814453125,0.0708661417323,0.669291338583,1444398
-529.31199646,-235.823196411,0.48193359375,0.0708661417323,0.669291338583,1444402
-527.967544556,-235.273468018,0.48095703125,0.0708661417323,0.669291338583,1444408
-526.439743042,-234.558822632,0.48291015625,0.0551181102362,0.669291338583,1444412
-524.820281982,-233.651763916,0.47998046875,0.0551181102362,0.669291338583,1444417
-522.986938477,-232.552307129,0.47998046875,0.0551181102362,0.669291338583,1444422
-521.031356812,-231.315414429,0.48095703125,0.0551181102362,0.669291338583,1444428
-518.953567505,-229.886123657,0.4814453125,0.0551181102362,0.669291338583,1444432
-516.784088135,-228.374359131,0.47998046875,0.0393700787402,0.669291338583,1444438
-514.614624023,-226.780151367,0.48095703125,0.0393700787402,0.669291338583,1444442
-512.414611816,-225.103469849,0.48095703125,0.0393700787402,0.653543307087,1444448
-510.245147705,-223.371826172,0.482421875,0.0393700787402,0.653543307087,1444453
-508.197891235,-221.640167236,0.48095703125,0.0236220472441,0.653543307087,1444458
-506.211761475,-219.90852356,0.48193359375,0.0236220472441,0.653543307087,1444463
-504.286743164,-218.121902466,0.48193359375,0.0236220472441,0.637795275591,1444468
-502.392288208,-216.335281372,0.4833984375,0.0236220472441,0.637795275591,1444473
-500.589492798,-214.438705444,0.48193359375,0.0236220472441,0.637795275591,1444478
-498.817245483,-212.377227783,0.48291015625,0.0236220472441,0.622047244094,1444483
-497.167236328,-210.205795288,0.48291015625,0.00787401574803,0.622047244094,1444488
-495.731109619,-207.89692688,0.48486328125,0.00787401574803,0.606299212598,1444493
-494.386642456,-205.588058472,0.48291015625,0.00787401574803,0.606299212598,1444498
-493.256072998,-203.251708984,0.48388671875,0.00787401574803,0.606299212598,1444503
-492.339401245,-200.86038208,0.48388671875,0.00787401574803,0.590551181102,1444508
-491.575500488,-198.57901001,0.486328125,0.00787401574803,0.590551181102,1444513
-490.994949341,-196.270141602,0.48486328125,0.00787401574803,0.574803149606,1444518
-490.62828064,-194.153686523,0.4873046875,0.00787401574803,0.574803149606,1444523
