x,y,p,xt,yt,time
0,0,0,0,0,0
-547.239944458,-259.582015991,0.15869140625,0.228346456693,0.685039370079,1564225
-547.056610107,-259.829391479,0.16064453125,0.244094488189,0.685039370079,1564230
-546.934387207,-260.076766968,0.15966796875,0.244094488189,0.685039370079,1564235
-546.781616211,-260.269180298,0.16259765625,0.244094488189,0.685039370079,1564241
-546.628829956,-260.489059448,0.185546875,0.244094488189,0.685039370079,1564245
-546.47605896,-260.653991699,0.20751953125,0.244094488189,0.685039370079,1564251
-546.384384155,-260.763931274,0.2275390625,0.244094488189,0.685039370079,1564255
-546.292724609,-260.87387085,0.2451171875,0.259842519685,0.685039370079,1564260
-546.292724609,-260.956329346,0.25732421875,0.259842519685,0.685039370079,1564265
-546.292724609,-260.956329346,0.2705078125,0.259842519685,0.685039370079,1564271
-546.139938354,-260.983825684,0.2841796875,0.259842519685,0.685039370079,1564275
-546.139938354,-260.983825684,0.298828125,0.259842519685,0.685039370079,1564281
-546.017715454,-260.983825684,0.30810546875,0.259842519685,0.685039370079,1564285
-546.017715454,-260.983825684,0.31494140625,0.259842519685,0.685039370079,1564291
-546.017715454,-260.983825684,0.31787109375,0.259842519685,0.685039370079,1564295
-546.017715454,-260.983825684,0.32421875,0.259842519685,0.685039370079,1564301
-546.017715454,-260.983825684,0.32958984375,0.244094488189,0.685039370079,1564306
-546.017715454,-260.983825684,0.333984375,0.244094488189,0.685039370079,1564311
-546.017715454,-260.983825684,0.3359375,0.244094488189,0.685039370079,1564321
-546.017715454,-260.983825684,0.33349609375,0.244094488189,0.700787401575,1564336
-545.926055908,-260.736450195,0.33203125,0.244094488189,0.700787401575,1564346
-545.803817749,-260.43409729,0.333984375,0.244094488189,0.700787401575,1564351
-545.620483398,-259.994308472,0.3330078125,0.244094488189,0.700787401575,1564356
-545.345489502,-259.417098999,0.33544921875,0.244094488189,0.700787401575,1564361
-545.009368896,-258.702438354,0.3408203125,0.244094488189,0.700787401575,1564366
-544.703811646,-257.877853394,0.3447265625,0.244094488189,0.700787401575,1564371
-544.367706299,-256.943313599,0.34619140625,0.244094488189,0.685039370079,1564376
-544.092697144,-255.981277466,0.35107421875,0.244094488189,0.685039370079,1564381
-543.787139893,-254.936798096,0.35302734375,0.244094488189,0.685039370079,1564386
-543.481582642,-253.837341309,0.3564453125,0.244094488189,0.685039370079,1564391
-543.11491394,-252.627929688,0.35595703125,0.244094488189,0.685039370079,1564396
-542.717681885,-251.253601074,0.361328125,0.228346456693,0.685039370079,1564401
-542.320449829,-249.796829224,0.3662109375,0.228346456693,0.669291338583,1564406
-541.923233032,-248.257583618,0.37451171875,0.228346456693,0.669291338583,1564411
-541.464889526,-246.663360596,0.3779296875,0.228346456693,0.669291338583,1564416
-541.067672729,-244.986679077,0.384765625,0.228346456693,0.653543307087,1564421
-540.70098877,-243.227554321,0.3857421875,0.228346456693,0.653543307087,1564426
-540.425994873,-241.358474731,0.3896484375,0.228346456693,0.637795275591,1564431
-540.212097168,-239.406921387,0.392578125,0.212598425197,0.637795275591,1564436
-540.059326172,-237.345443726,0.400390625,0.212598425197,0.622047244094,1564441
-539.967651367,-235.228988647,0.40576171875,0.212598425197,0.622047244094,1564446
-539.906539917,-232.975097656,0.41162109375,0.196850393701,0.606299212598,1564451
-539.967651367,-230.611251831,0.41357421875,0.196850393701,0.606299212598,1564456
-540.150985718,-228.247421265,0.419921875,0.181102362205,0.606299212598,1564461
-540.334320068,-225.828598022,0.4248046875,0.181102362205,0.590551181102,1564466
-540.609329224,-223.38230896,0.43017578125,0.181102362205,0.590551181102,1564471
-540.88432312,-221.018463135,0.431640625,0.181102362205,0.590551181102,1564476
-541.098220825,-218.819549561,0.43798828125,0.181102362205,0.590551181102,1564481
-541.37322998,-216.758056641,0.44189453125,0.181102362205,0.590551181102,1564486
-541.556564331,-214.834014893,0.4482421875,0.181102362205,0.574803149606,1564492
-541.648223877,-212.964920044,0.45068359375,0.181102362205,0.574803149606,1564496
-541.770446777,-211.013381958,0.45947265625,0.181102362205,0.574803149606,1564502
-541.801010132,-208.951904297,0.4677734375,0.181102362205,0.55905511811,1564506
-541.831558228,-206.752975464,0.4755859375,0.196850393701,0.55905511811,1564512
-541.862121582,-204.36164856,0.47998046875,0.196850393701,0.55905511811,1564516
-541.892669678,-201.86038208,0.48779296875,0.196850393701,0.543307086614,1564522
-541.892669678,-199.276657104,0.49462890625,0.212598425197,0.543307086614,1564527
-541.923233032,-196.555496216,0.5029296875,0.212598425197,0.527559055118,1564532
-541.862121582,-193.971755981,0.509765625,0.212598425197,0.527559055118,1564537
-541.801010132,-191.30557251,0.51708984375,0.212598425197,0.511811023622,1564542
-541.648223877,-188.666870117,0.517578125,0.196850393701,0.511811023622,1564547
-541.342666626,-186.110626221,0.52001953125,0.196850393701,0.496062992126,1564552
-540.975997925,-183.499404907,0.52001953125,0.196850393701,0.496062992126,1564557
-540.456542969,-180.888198853,0.5234375,0.196850393701,0.48031496063,1564562
-539.753768921,-178.304458618,0.5244140625,0.196850393701,0.48031496063,1564567
-538.928756714,-175.693252563,0.52685546875,0.181102362205,0.48031496063,1564572
-537.950973511,-173.164489746,0.52490234375,0.181102362205,0.464566929134,1564577
