x,y,p,xt,yt,time
0,0,0,0,0,0
-281.740356445,-103.280487061,0.1171875,-0.338582677165,-0.0551181102362,2122356
-281.740356445,-103.280487061,0.13525390625,-0.338582677165,-0.0551181102362,2122360
-281.862579346,-103.307983398,0.138671875,-0.338582677165,-0.0551181102362,2122366
-281.984802246,-103.307983398,0.1396484375,-0.322834645669,-0.0551181102362,2122376
-282.107025146,-103.307983398,0.13916015625,-0.322834645669,-0.0551181102362,2122386
-282.198699951,-103.280487061,0.13916015625,-0.322834645669,-0.0551181102362,2122391
-282.290374756,-103.280487061,0.13818359375,-0.322834645669,-0.0551181102362,2122396
-282.382049561,-103.252990723,0.1376953125,-0.322834645669,-0.0551181102362,2122401
-282.473693848,-103.252990723,0.13818359375,-0.338582677165,-0.0551181102362,2122406
-282.565368652,-103.252990723,0.13818359375,-0.338582677165,-0.0551181102362,2122411
-282.687591553,-103.252990723,0.1396484375,-0.338582677165,-0.0551181102362,2122421
-282.687591553,-103.252990723,0.1416015625,-0.338582677165,-0.0551181102362,2122431
-282.779266357,-103.225524902,0.1416015625,-0.338582677165,-0.0551181102362,2122441
-282.962585449,-103.08807373,0.14208984375,-0.338582677165,-0.0551181102362,2122451
-283.20703125,-103.005615234,0.1416015625,-0.338582677165,-0.0551181102362,2122456
-283.451507568,-102.8956604,0.140625,-0.338582677165,-0.0551181102362,2122461
-283.787597656,-102.730743408,0.13916015625,-0.338582677165,-0.0551181102362,2122466
-284.154266357,-102.565826416,0.13818359375,-0.338582677165,-0.0551181102362,2122471
-284.490386963,-102.26348877,0.13818359375,-0.338582677165,-0.0551181102362,2122476
-284.857055664,-101.933654785,0.13818359375,-0.338582677165,-0.0551181102362,2122481
-285.223724365,-101.493865967,0.13916015625,-0.338582677165,-0.0551181102362,2122486
-285.529296875,-100.971618652,0.14306640625,-0.322834645669,-0.0551181102362,2122491
-285.895965576,-100.39440918,0.14990234375,-0.322834645669,-0.0551181102362,2122496
-286.232086182,-99.7347412109,0.15576171875,-0.322834645669,-0.0551181102362,2122501
-286.629302979,-99.0200805664,0.1611328125,-0.322834645669,-0.0551181102362,2122506
-286.965423584,-98.1954956055,0.1650390625,-0.322834645669,-0.0551181102362,2122511
-287.332092285,-97.2334594727,0.1669921875,-0.322834645669,-0.0551181102362,2122517
-287.729309082,-96.2439575195,0.16796875,-0.322834645669,-0.0551181102362,2122521
-288.126525879,-95.1719665527,0.16943359375,-0.322834645669,-0.0551181102362,2122526
-288.615447998,-94.0725097656,0.17041015625,-0.322834645669,-0.0551181102362,2122532
-289.134887695,-92.8905944824,0.17236328125,-0.322834645669,-0.0551181102362,2122536
-289.684875488,-91.6262207031,0.173828125,-0.322834645669,-0.0551181102362,2122542
-290.296020508,-90.306854248,0.17529296875,-0.338582677165,-0.0551181102362,2122547
-290.937683105,-88.9050598145,0.1787109375,-0.338582677165,-0.0551181102362,2122552
-291.609924316,-87.5307312012,0.18212890625,-0.338582677165,-0.0551181102362,2122557
-292.312683105,-86.0189819336,0.19091796875,-0.338582677165,-0.0551181102362,2122562
-293.046020508,-84.5072021484,0.1982421875,-0.338582677165,-0.0551181102362,2122567
-293.779388428,-82.9129943848,0.20751953125,-0.338582677165,-0.0551181102362,2122572
-294.51272583,-81.3187866211,0.2158203125,-0.338582677165,-0.0551181102362,2122577
